PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,GREEN_ROOF_AREA,GREEN_ROOF_VARIATION_AREA
10 227495,00,"New Building","Multiple Use/Non Residential",11,ST ANNES,RD, ,M6J,2010/07/23,2011/04/13,2012/09/26,Closed,"Construct  new police service facility w/ 2 storey below grade parking and detention centre and 2 storey above grade office area. - See 10 162657 ZPR for PPR and 10 190749 STE 18 SA for SPA.
Separate sprinkler permit required - charged on this permit","1220","0"
10 240746,00,"New Building","Mixed Use/Res w Non Res",295,ADELAIDE,ST,W,M5V,2010/08/17,2013/06/21,,Inspection,"Construct 46-storey mixed-use building containing 588 dwelling units, commercial at grade and 6 levels below grade.","620",""
10 243442,00,"Building Additions/Alterations","Community Hall",1326,GERRARD,ST,E,M4L,2010/08/20,2010/10/04,2012/12/13,Closed,"Proposal to install green roof on top of existing community hall "Riverdale Immigrant Women Enterprises" (131.60m2).","131.6",""
10 255756,00,"New Building","Mixed Use/Res w Non Res",120,BREMNER,BLVD, ,   ,2010/09/10,2014/01/23,,Inspection,"New mixed use building (with Hotel and Retail uses). 46 Storey Hotel. 567 rooms - 3 levels of underground parking - 366 parking spaces total (hotel 153 spaces, office 213 spaces).
PLEASE NOTE THAT UNDERGROUND PARKING GARAGE WILL SERVICE HOTEL BUILDING AS WELL AS NEW OFFICE BUILDING TO BE APPLIED FOR AT A LATER DATE ON THE SAME SITE","1051.9","988.7"
10 272513,00,"New Building","Apartment Building",275,YORKLAND,RD, ,   ,2010/10/06,2013/10/02,,Inspection,"New 27 storey residential tower with 318 units and 5 levels of under ground parking.
Increased to 33 storeys and 402 units and 5 levels of underground parking.","744.9","10.5"
10 275713,00,"Small Residential Projects","SFD - Detached",1,MOSSOM,PL, ,M6S,2010/10/12,2010/11/12,2011/09/12,Closed,"Installation of a green roof on the addition constructed under permit 06-164920 BLD","152",""
10 275713,01,"Small Residential Projects","SFD - Detached",1,MOSSOM,PL, ,M6S,2011/08/09,2011/08/15,2011/09/12,Closed,"Revision 01: revision to roof end detail.
(Installation of a green roof on the addition constructed under permit 06-164920 BLD)","152",""
10 282856,00,"Small Residential Projects","SFD - Detached",55,HARPER,AVE, ,M4T,2010/10/22,2010/11/05,2011/10/31,Closed,"Proposal to construct a green roof atop an existing detached garage.  See related permit 10 175351 BLD.","60.9",""
10 286777,00,"New Building","Apartment Building",1,VALHALLA INN,RD, ,M9B,2010/10/28,2012/07/25,,Inspection,"Proposal to construct Phase 1 of 3-phase project: 22 storey apartment building  (Tower 'A') with 216 residential units with (1) level of underground and (3) levels above grade parking.
TOWNHOUSES NOT PART OF THIS PERMIT","581.5","0"
10 292819,00,"New Building","Transit Station,Subway, Bus Terminal",4700,KEELE,ST, ,M3J,2010/11/08,2017/06/16,,Inspection,"TTC Transit Facility , York University Subway Station in support of the Toronto York Spadina Subway Extension ( TYSSE) York University Station.","360","190.5"
10 299666,00,"New Building","Mixed Use/Res w Non Res",2,EASTERN,AVE, ,M5A,2010/11/19,2011/10/17,,Inspection,"Proposal to construct a new eight storey mixed use building.  Building comprised of 82 residential units, ground floor retail use and three below grade parking facilities.  See also 10 165672 STE and 10 247123 MV.","263.40","0"
10 300519,00,"Small Residential Projects","SFD - Detached",10,PLYMBRIDGE,RD, ,M4N,2010/11/22,2010/12/23,2013/02/06,Closed,"Addition to existing sfd, decks, green roof, detached garage and pool house on consolidated lot","71.72",""
10 315385,00,"New Building","Mixed Use/Res w Non Res",560,KING,ST,W,M5V,2010/12/16,2013/05/02,2016/02/09,Closed,"Proposal to construct a 12 sty condo with 334 residential units, commercial on ground floor, and 4 levels of below grade parking.  "Fashion House". Two Towers; One facing King St West and other one facing Adelaide St West.","1541",""
10 315822,00,"New Building","Mixed Use/Res w Non Res",32,CAMDEN,ST, ,M5V,2010/12/16,2012/01/18,,Inspection,"Proposal to construct a 12 sty condo with 87 residential units,  and 1 community facility space at grade.","138.29","0"
10 316687,00,"New Building","Mixed Use/Res w Non Res",20,JOE SHUSTER,WAY, ,   ,2010/12/17,2013/12/20,,Inspection,"Proposal to construct a 14 sty condo with retail on ground floor, 4 levels of below grade parking, and 244 residential units.  "Fuzion Condo".","716.70","0"
11 108543,00,"New Building","Apartment Building",85,THE DONWAY, ,W,   ,2011/01/18,2012/10/10,,Inspection,"12 storey condominium with ground floor retail","390","0"
11 129874,00,"Small Residential Projects","SFD - Detached",421,CLINTON,ST, ,M6G,2011/02/18,2011/03/22,,Inspection,"Proposal for multiple projects to an existing 3 storey SFD-detached dwelling.  Scope of work includes the construction of a 2 storey rear addition, a third floor addition with a dormer enlargement, interior alterations to all floors, new rear deck, and a detached garage with a green roof at the rear of the site.  See also 10 229213 ZZC, 10 277744 MV and Final and BindingA0855/10TEY.","41.0",""
11 132392,00,"New Building","Restaurant Greater Than 30 Seats",3895,MCNICOLL,AVE, ,   ,2011/02/24,2014/03/25,,Inspection,"New One Storey Banquet Hall Building with Mezzanine including HVAC, Plumbing and Site Services","523.6","0"
11 142921,00,"New Building","Mixed Use/Res w Non Res",635,KING,ST,E,   ,2011/03/11,2012/07/17,,Inspection,"Proposal to construct 2 condo buildings (1-7 sty & 1- 16 sty) with link, commercial on ground floor, 349 residential units, and no below grade parking.  West Don lands PHASE 1 (Block 4 West & Block 3).","2063",""
11 147390,00,"New Building","Other",100,GARRISON,RD, ,M5V,2011/03/17,2013/05/29,,Inspection,"This is for the Fort York lands known as 100 Garrison Road and 800 Fleet Street to permit the construction of a two storey Visitor Centre complete with roof terrace and related commercial uses to include a gift shop and a restaurant with more than 30 seats. There is also a parking area for approx. 60 vehicles and bus parking located south of the building. ","729.6","0"
11 154403,00,"Building Additions/Alterations","Elementary School",80,THORNCLIFFE PARK,DR, ,M4H,2011/03/25,2012/06/06,2014/12/03,Closed,"Thorncliffe Park Relief School - Two storey addition","1032","742"
11 180260,00,"New Building","Apartment Building",15,BEVERLEY,ST, ,M5T,2011/04/21,2015/06/22,,Inspection,"Permit to construct new 11 storey residential condo building - 96 residential suites - 3 levels below grade parking - 64 parking spaces including visitor spaces - 10 bicycle parking spaces. - see 10 189510 STE 20 SA for siteplan - 11 169993 MV of C of A.","140","0"
11 187152,00,"New Building","Mixed Use/Res w Non Res",591,DUNDAS,ST,E,M5T,2011/05/04,2013/05/31,2013/09/19,Closed,"Convenience address is 230 Sackville St
Permit to construct new 10 storey mixed use building with commercial at grade, office on second floor.  Remainng floors are residential.  155 residential units - 2 levels below grade parking - 105 parking spaces. 190 Bicycle parking spaces.","986",""
11 190549,00,"New Building","Apartment Building",1,VALHALLA INN,RD, ,M9B,2011/05/09,2013/02/21,,Inspection,"(Phase 2 of 3, Tower B) Proposed new 35 storey apartment building with 329 units plus 7 units on podium TOTAL UNITS 336, two levels of below grade parking and three levels of above grade parking.
SEPARATE TOWNHOUSE BLOCKS NOT PART OF THIS PERMIT","695",""
11 193106,00,"New Building","Other",591,DUNDAS,ST,E,M5T,2011/05/12,2013/08/30,,Inspection,"CONVENIENCE ADDRESS IS 402 SHUTER - Permit to construct new City of Toronto Community Centre - 2 Stories - Regent Park Community Centre.","1442",""
11 201329,00,"New Building","Restaurant Greater Than 30 Seats",30,IRONSIDE,CRES, ,   ,2011/05/24,2015/03/05,,Inspection,"Construct banquet hall - shell only BLDG A","431.5","0"
11 216050,00,"New Building","Mixed Use/Res w Non Res",224,KING,ST,W,   ,2011/06/10,2013/12/19,2016/11/23,Closed,"Permit to construct a new 47 storey mixed-use building comprised of  234 residential dwelling units,  644m2 of commercial space and 100 parking spaces including 4 car share spaces.","277.33","0"
11 218683,00,"New Building","Industrial",3115,MARKHAM,RD, ,   ,2011/06/14,2011/10/31,2013/04/02,Closed,"construct a two (2) storey shell building cladded with precast","324","0"
11 221432,00,"New Building","Mixed Use/Res w Non Res",199,RICHMOND,ST,W,M5V,2011/06/24,,,Issuance Pending,"PHASE 1 - Permit to construct new 31 storey building with ground floor community space - 337 residentail units - 485 parking spaces (PHASE 1 and Partial PHASE  2 and visitor parking spaces) - 5 levels below grade parking. - 396 Bicycle parking spaces.","473","0"
11 223813,00,"Building Additions/Alterations","Recreational",1073,MILLWOOD,RD, ,M4G,2011/06/21,2012/04/26,,Inspection," Construct a one-storey, 4,112 square metre addition to Leaside Memorial CommunityGardens Arena to accommodate an additional ice pad.","404","0"
11 223964,00,"New Building","Apartment Building",399,SPRING GARDEN,AVE, ,M2N,2011/06/21,2013/11/25,,Inspection,"Seven storey condo with 172 units and two levels of underground parking - Phantom Dev.","723.5","0"
11 226957,00,"New Building","Apartment Building",2200,LAKE SHORE,BLVD,W,M8V,2011/06/24,2013/09/05,,Inspection,"Proposal to construct a new (48) storey condominium building with (490) units, (5) levels of underground parking, (1) floor of ground floor retail shell space for Block A 520m2 only- Phase 1.","52 ",""
11 229770,00,"New Building","Elementary School",20,COULES,CRT, ,M8W,2011/06/29,2012/08/22,,Inspection,"Proposed new two storey elementary school building on site of existing demolished elementary school.  ROLL 4498-2CC-COL4-ROW3","0","370"
11 230682,00,"New Building","Industrial",1313,LAKE SHORE,BLVD,E,   ,2011/06/30,2016/02/03,,Inspection,"This is for the construction of a new two storey carhouse building for the Toronto Transit Commission(TTC). The building will be 23,675 sm. .
Separate sprinkler permit required - charged on this permit.","9035.13","0.00"
11 232379,00,"New Building","Mixed Use/Res w Non Res",591,DUNDAS,ST,E,M5T,2011/07/05,2013/02/01,,Inspection,"PHASE 1 APPLICATION  - permit to construct new 25 storey mixed use building with 8 storey podium, retail / commercial on ground floor and 2 levels of underground parking. 364 units - 628 bicycle parking spaces.","1344",""
11 234039,00,"New Building","Mixed Use/Res w Non Res",117,PETER,ST, ,M5V,2011/07/07,2013/07/22,,Inspection,"Proposal to construct a 36 sty condo with retail on ground floor, office on 2nd floor, and 5 levels of below grade parking.  410 residential units.  Alternative Solution 13-121369 for combustible cladding.","475","0"
11 234821,00,"Building Additions/Alterations","Office",333,KING,ST,E,M5A,2011/07/08,2011/10/27,2013/07/24,Closed,"Proposal to construct an additional 3 floors over existing 3 storey office building.  Only shell to be constructed, interior permits to be applied for at a later date.","371","554"
11 236661,00,"New Building","Apartment Building",72,ESTHER SHINER,BLVD, ,   ,2011/07/12,2013/10/25,2016/08/29,Closed,"1001-1009 SHEPPARD AVE E, CONCORD ADEX PARK PLACE, BLOCK 17
7 storey and 21 storey attached apartment building containing 257 dwelling units, with ground floor retail and 4 levels of underground parking","591",""
11 239542,01,"Building Additions/Alterations","College/Trade/Tech School/Training Cent.",4700,KEELE,ST, ,M3J,2014/12/22,2015/10/30,,Revision Issued,"Revise proposed roof top paving to new Green Roof - Central Square Podium","1114","0"
11 245016,00,"New Building","Apartment Building",2490,BLOOR,ST,W,M6S,2011/07/25,2014/04/04,,Inspection,"Proposed 12 storey (and mechanical penthouse level) mixed-use residential condominium building with 280 residential units and 999.78m2 of retail space. (Phase 1)","191.6",""
11 249770,00,"New Building","Mixed Use/Res w Non Res",800,LAWRENCE,AVE,W,   ,2011/08/02,2014/10/28,2016/06/14,Closed,"21 storey residential building with an 8 storey residential podium containing 435 dwelling units, ground floor mixed uses and four levels of underground parking","1093","0"
11 253977,00,"New Houses","SFD - Detached",85,REGAL,RD, ,M6H,2011/08/09,2011/09/27,,Inspection,"Proposed new two storey detached dwelling with rear yard detached garage.","66",""
11 263561,00,"New Building","Mixed Use/Res w Non Res",170,FORT YORK,BLVD, ,   ,2011/08/25,2013/04/04,,Inspection,"Proposal to construct a 29 sty condo with commercial at grade, 2 levels of below grade parking, and 364 residential units. Note: This permit does not include the above-grade portion of the library block.","692.0","296.3"
11 273461,00,"New Building","Apartment Building",120,HARRISON GARDEN,BLVD, ,   ,2011/09/13,2013/06/20,,Inspection,"Residences of Avonshire Inc. Superstructural residential building 21-storeys, 284 units  (Building C) with 8 storey link , 3 levels u/g parking.","2336.37",""
11 274541,00,"New Building","Apartment Building",120,HARRISON GARDEN,BLVD, ,   ,2011/09/14,2013/06/20,,Inspection,"Residences of Avonshire - Superstructe residential building 16 -storeys, 193 units  (Building D)

For drawings, refer to Building Permit 11- 273461 ( Building C )","2353","0"
11 276573,00,"New Building","Mixed Use/Res w Non Res",75,IANNUZZI,ST, ,   ,2011/09/16,2013/05/31,,Inspection,"PLEASE SEE RELATED ZONING AND PLANNING FOLDERS UNDER 24 BATHURST ST. 09-188168-03
Permit to construct new mixed use building retail at grade and residential above - 28 Storeys, 420 Residential units plus one guest suite, (408 Condo Suites with 12 Town homes).  5 levels below grade parking, 385 parking spaces( 335 Residential 50 Visitor) 250 Residential Bicycle Parking spaces - 40 Visitor Parking Spaces. - ","593.93","0"
11 279729,00,"New Building","Hospital",76,GRENVILLE,ST, ,M5S,2011/09/22,2013/03/05,,Inspection,"Proposal to construct a 9 sty hospital with 3 levels of below grade parking.  Womens College.  PHASE 2","1060.6",""
11 279925,00,"New Building","Elementary School",0,ALTON TOWERS,CRCL, ,   ,2011/09/22,2012/07/31,2015/02/20,Closed,"construct a new one storey elementary school Ecole Elementairede Laure-Riese with a Day Nursery","700",""
11 280530,00,"New Building","Apartment Building",100,PARKWAY FOREST,DR, ,M2J,2011/09/23,2013/11/29,,Inspection,"Parkway Forest Reurbanization ( Emerald City Condos) new 29 storey residential condominium 404 units,building A5/A6 over 4 levels of below grade parking.","952","0"
11 284988,00,"New Building","Multiple Use/Non Residential",85,HARBOUR,ST, ,   ,2011/09/30,2013/07/26,2017/02/28,Closed,"Waterpark Phase III -Erect a new 30 storey non-residential building complete with 2 levels of retail at and above grade and office above. Proposed would connect to the Phase 1 and 2 lands being 10-20 Bays Street.  Pedestrian connection to connect to ACC and over lakeshore boulevard to follow under separate permit","4363","0"
11 287084,00,"New Building","Mixed Use/Res w Non Res",328,ADELAIDE,ST,W,M5V,2011/10/04,2013/09/04,2015/11/13,Closed,"New 40 storey mixed use building with retail at grade (305m2), 2nd and 3rd floor offices (1464m2), 429 residential units above (27222m2), 108 parking spaces in 5 levels below grade parking (5893m2), mechanical service space (1343m2), with sprinklers throughout the building (36227). See 10-304143 for Site Plan Approval, and 10 239523 for Rezoning application.","63.01","0.0"
11 287641,00,"New Building","Apartment Building",2200,LAKE SHORE,BLVD,W,M8V,2011/10/05,2014/03/20,,Inspection,"proposed 44 storey condominium with 434 residential units, w/ retail on ground floor, 5 levels of underground parking PHASE 2","2086.","0"
11 288197,00,"New Building","Elementary School",30,THISTLE DOWN,BLVD, ,M9V,2011/10/06,2012/07/31,,Inspection,"Proposed construction of a new (2) storey elementary school with a daycare centre on a vacant lot.","","330.4"
11 288242,00,"New Building","Apartment Building",508,WELLINGTON,ST,W,M5V,2011/10/06,2013/05/21,,Inspection,"Proposal to construct a 11 storey residential builidng with 89 dwelling units.Total 28 parking spaces provided (including 5 off-site parking spaces). See 3 demo permits (508, 512, and 516 wellington St W).  Lot comprised of 508, 512 and 516  Wellington St. W.","175.9",""
11 293926,00,"New Building","Apartment Building",68,CANTERBURY,PL, ,   ,2011/10/17,2013/01/21,2016/04/19,Closed,"18 storey apartment building with 209 suites, two levels of underground parking garages linked to 20 units of three storey townhouses
","248","227"
11 294699,00,"New Building","Apartment Building",132,BERKELEY,ST, ,M5A,2011/10/18,2013/01/22,2017/03/08,Closed,"Proposal to construct new 10 storey residential dwelling with 177 residential units and two below grade parking levels.","300",""
11 295644,00,"New Building","Apartment Building",2157,LAKE SHORE,BLVD,W,M8V,2011/10/19,2014/11/13,,Inspection,"To construct new 10 storey residential building and 39 storey mixed use building with commercial uses on the ground floor, 516 units (Building A and Building B).
Foundation drawings in the Kingsway Room
","1087","0"
11 299749,00,"New Building","Mixed Use/Res w Non Res",251,KING,ST,E,M5A,2011/10/26,2015/02/25,,Inspection,"Proposal to construct new 17-storey mixed-use building consisting of underground parking (3223.4m2), 132 residential units (10704.49m2), retail (362.33m2), mechanical space (883.73m2), with sprinklers included throughout the building (14272.73m2).  Also see STE files 08-186000 for rezoning, and 08-186022 for site plan approval.","181.27","0"
11 309981,00,"New Building","University",341,YONGE,ST, ,M5B,2011/11/15,2012/10/31,2015/07/27,Closed,"New Building -8 storey (plus mechanical) Student Centre for Ryerson University, with retail at and below grade. Proposal includes the construction of an above grade encroachment into the City-owned O'Keefe laneway to permit a bridge connection to the existing second and third floor level of the Ryerson University library building at 350 Victoria Street. ","889.5","0"
11 310205,00,"New Building","Multiple Use/Non Residential",30,BERTRAND,AVE, ,M1L,2011/11/15,2012/07/17,2014/03/25,Closed,"construct two  storey office building BLD B","240.52","140.52"
11 311255,00,"New Building","Mixed Use/Res w Non Res",621,KING,ST,W,M5V,2011/11/17,2015/11/10,,Inspection,"Proposal to construct a mixed use building comprising of one 16 storey and one 11 storey tower, and 6 levels below grade parking, which includes four levels (P1, P1 Mezz, P2 and P3) commercial parking garage. Total 408 residential dwelling units.  (This includes three additional floors added as per by-law 1116-2013 applied for Dec/13). Public Pool On The Roof Require Separate Permit.
(Note-see active stand alone Shoring permit and STR 00 CP)","1225.3",""
11 311907,00,"New Building","Apartment Building",130,GEORGE HENRY,BLVD, ,M2J,2011/11/18,2014/05/09,,Inspection,"Emerald City Developent lll ( Building A1 / A3 on Parkway Forest ) 25 Storey Residential Building over 4 levels of below garde parking, total 316 new residential condominium units.","489","0"
11 312272,00,"Building Additions/Alterations","Elementary School",270,MANSE,RD, ,M1E,2011/11/18,2012/06/18,,Inspection,"addition, interior alterations to school","1197.00",""
11 312940,00,"New Building","Apartment Building",8,GLADSTONE,AVE, ,M6J,2011/11/21,2012/11/13,,Inspection,"This is for the construction of a mixed use condominium building consisting of eight (8) storey's, with retail on the ground floor and two levels of below grade parking.
BIN 2269","356","0"
11 319306,00,"New Building","Apartment Building",32,DAVENPORT,RD, ,M5R,2011/12/01,2013/10/22,,Inspection,"Proposal to construct a 31 sty condo with 5 levels of below grade parking.","380","0"
11 319757,00,"New Building","Mixed Use/Res w Non Res",17,GLEBE,RD,W,M5P,2011/12/02,2014/03/19,,Inspection,"Proposed is a 10 storey mixed-use building with 197 residential units with retail at-grade and below grade parking. 1994-2008 YONGE ST, 17 GLEBE ROAD WEST.  NEW ADDRESS - 23 GLEBE ROAD WEST.","429.78","0"
11 320212,00,"New Building","Retail Store",50,RESOURCES,RD, ,M9P,2011/12/02,2012/06/14,2014/01/21,Closed,"Construct new retail store *Lowes* .","0","364.8"
11 322222,00,"New Building","Apartment Building",34,HAZELTON,AVE, ,M5R,2011/12/07,2016/01/19,,Inspection,"This is for a new seven (7) storey residential condominium with three (3) below grade parking levels. This building will have 19 units. please refer to planning folders associated with this address. The new address of the building will be 36 Haazelton Avenue.","82","82"
11 324279,00,"New Building","Elementary School",1,BOTHAM,RD, ,M2N,2011/12/12,2012/10/16,2013/11/27,Closed,"Three storey elementary school connected to a one storey kindergarten classroom pod - New St. Edward Catholic Elementary School ","0","460.8"
11 325405,00,"New Building","Mixed Use/Res w Non Res",511,BREMNER,BLVD, ,   ,2011/12/13,2015/04/22,,Inspection,"Block 33: This is for a new condominium with 943 units with one tower at 41 storeys located at the southeast is known as tower AA and one tower of 39 storeys located northwest on the property and known as Tower BB. This building will have four(4) levels of below grade parking and the ground floor of both towers will be commercial space.
Interior Fitout and Cladding Permit under 13-241121","693","1039"
11 327014,00,"New Building","Apartment Building",707,DOVERCOURT,RD, ,M6H,2011/12/16,2012/12/12,,Inspection,"permit to construct new 5 storey residential building with 75 units - 2 levels below grade parking - 67 parking spaces - 77 bicycle parking spaces. - see 09 108744 STE 19 SA","497",""
11 327064,00,"New Building","Apartment Building",210,SIMCOE,ST, ,   ,2011/12/16,2013/10/23,,Inspection,".3
Proposal to construct a 25 Storey (+ Mech. Penthouse) residential tower, 3 levels of below grade parking, and  296 residential units. There will be no Non-Residential uses.
","607.69",""
11 327297,00,"New Building","Apartment Building",54,BERWICK,AVE, ,M5P,2011/12/16,2014/02/14,,Inspection,"Erect a new apartment building 17 stories in height complete with 214 units, 12 for rental purposes and 20 3-storey townhouse dwelling units fronting onto Duplex Ave. A three level below grade parking facility containing 272 parking spaces is to be constructed to serve the development.
","445","0"
11 327513,00,"New Building","Apartment Building",2200,LAKE SHORE,BLVD,W,M8V,2011/12/16,2013/10/25,,Inspection,"Proposed construction of one 42 storey 428 unit apartment buiding with 5 levels of underground parking garage and commercil area on ground floor (Phase 3).","220","0"
11 329274,00,"Building Additions/Alterations","Multiple Use/Non Residential",2300,YONGE,ST, ,M4P,2011/12/21,2013/01/29,,Inspection,"Three storey addition to existing retail and office complex - Yonge Eglinton Centre","257.58",""
11 329361,00,"New Building","Mixed Use/Res w Non Res",783,BATHURST,ST, ,M5S,2011/12/21,2013/12/23,,Inspection,"Construct a new 9 storey residential condominium complete with ground floor retail space. A total of 195 units are to be provided. ","508.38",""
11 329842,00,"New Building","Other",25,REES,ST, ,   ,2011/12/22,2014/06/27,,Inspection,"Proposal to demolish existing building and construct new Transformer Station for Toronto Hydro Electric. The two storeys building is comprise of offices with three storey of mechanical equipment below grade. [See 255 Bremner Blvd. for SPA. 255 Bremner Blvd. lot has been severed] (Precinct Agreements)","1269.24",""
11 330105,00,"New Building","Mixed Use/Res w Non Res",1205,QUEEN,ST,W,M6K,2011/12/22,2014/01/09,,Inspection,"Proposal to construct a 8 storey condo with ground floor commercial and 2 levels of underground parking.  70 residential units.","277.32","0"
11 330479,00,"New Building","Mixed Use/Res w Non Res",760,THE QUEENSWAY, , ,M8Z,2011/12/23,2014/06/04,,Inspection,"Proposal to construct new 8 storey mixed use building with retail area on ground floor and 74 rasidential apartment units.","349",""
11 330588,00,"New Building","Multiple Use/Non Residential",475,FRONT,ST,E,M5A,2011/12/23,2014/12/11,2017/04/25,Closed,"Proposal to construct a 9 sty student residence and a 2 sty community sports facility with 1 level of below grade parking.  PAN-AM.  BLOCKS 1 & 14.","3290","0"
11 330642,00,"New Building","Apartment Building",475,FRONT,ST,E,M5A,2011/12/23,2014/03/11,2017/05/18,Closed,"Proposal to construct a 10 sty residential building with 1 level of below grade parking.  108 units. Affordable Housing.  PAN-AM.  BLOCKS 2 & 3.","504",""
11 330653,00,"New Building","Mixed Use/Res w Non Res",475,FRONT,ST,E,M5A,2011/12/23,2014/03/11,2017/05/19,Closed,"Proposal to construct a 12 sty residential building with ground floor retail and 1 level of below grade parking.  145 units. Affordable Housing.  PAN-AM.  BLOCK 15.","540","0"
11 331342,00,"New Building","Elementary School",29,MEADOWVALE,RD, ,M1C,2011/12/28,2012/03/19,2013/10/11,Closed,"construct a proposed new 2 storey elementary school and daycare","379.20","0"
11 331561,00,"New Building","Mixed Use/Res w Non Res",56,BLUE JAYS,WAY, ,M5V,2011/12/29,2014/08/26,,Inspection,"Proposal to construct a 41 sty mixed use building consisting of a condo (floors 9-39 with 344 units), Hotel (ground-8th & roof top amenities), ground floor restaurant, and 6 levels of below grade parking.","397.5","278.64"
11 331561,01,"New Building","Mixed Use/Res w Non Res",56,BLUE JAYS,WAY, ,M5V,2015/04/02,2016/05/20,,Revision Issued,"Revision to add 3 addtional residential floors to mixed-use building currently under construction","303.5","94"
12 105190,00,"New Building","Mixed Use/Res w Non Res",11,CHARLOTTE,ST, ,M5V,2012/01/12,2014/07/28,,Inspection,"Proposal to construct a 32 sty condo with commercial at grade, 232 dwelling units, and 4 levels of below grade parking.","36.5","0"
12 106788,00,"New Building","Club",1901,MOUNT PLEASANT,RD, ,M4N,2012/01/16,2012/06/05,2015/03/09,Closed,"Three storey clubhouse - Rosedale Golf Association Ltd.","184.9","304.3"
12 107739,00,"New Building","Mixed Use/Res w Non Res",60,JOHN,ST, ,M9N,2012/01/18,2014/06/11,,Inspection,"Proposal to construct a new 33 storey mixed use condo with ground floor retail, 412 residential units, and 5 levels of below grade parking with 163 parking spaces.
(TENTATIVE ADDRESS 8 MERCER ST)","388.54","88.79"
12 109059,00,"New Building","Library",170,FORT YORK,BLVD, ,   ,2012/01/20,2012/08/30,,Inspection,"Proposal to construct a 2 sty library building.  New address - 200 Fort York Blvd.  Also see active BLD permit for below grade parking connection 11 263561.  "Fort York Bathurst Library".actual address 190 Fort York Blvd.","408.5","0"
